Test node index	True parents	Predicted parents	macro_mr	micro_mr	hit_at_1	hit_at_3	mrr_scaled_10
command response	computer hardware	operating system, artificial intelligence, real time computing, computer hardware, embedded system	4.0	4.0	0.0	0.0	1.0
flash drive	usb	operating system, computer hardware, embedded system, computer science, computer data storage	80.0	80.0	0.0	0.0	0.125
basis	artificial intelligence	artificial intelligence, kernel, pattern recognition, computer science, computer vision	1.0	1.0	1.0	1.0	1.0
diffie hellman key exchange	key exchange	public key cryptography, cryptography, computer security, encryption, key exchange	5.0	5.0	0.0	0.0	1.0
wash rack	computer hardware	cartridge, plunger, schrader valve, crate, trailer	16.0	16.0	0.0	0.0	0.5
browser based computing	distributed computing, world wide web	world wide web, the internet, operating system, web api, dynamic web page	18.5	18.5	0.5	0.5	0.625
file device	operating system	operating system, computer hardware, file control block, unix file types, stub file	1.0	1.0	1.0	1.0	1.0
mauremys leprosa	turtle, turtle	turtle, trachemys scripta, box turtle, emydidae, chelydra	5.5	5.5	0.5	0.5	1.0
composite construction	composite number	composite number, sandwich structured composite, nickel titanium, shrinkage, shape memory alloy	1.0	1.0	1.0	1.0	1.0
philosophy of information	artificial intelligence	artificial intelligence, computer science, ontology, cybernetics, knowledge management	1.0	1.0	1.0	1.0	1.0
grapheme	artificial intelligence, speech recognition	artificial intelligence, operating system, programming language, computer hardware, computer science	5.5	5.5	0.5	0.5	1.0
knowledge community	knowledge management	knowledge management, organizational learning, community of practice, social network, information and communications technology	1.0	1.0	1.0	1.0	1.0
abnormal pulse	pulse	pulse, pulse duration, pulse rates, ultrashort pulse, rise time	1.0	1.0	1.0	1.0	1.0
microsoft solutions framework	software development	software development process, software engineering, software development, software quality, agile software development	3.0	3.0	0.0	1.0	1.0
max 3sat	sat	generalized assignment problem, linear programming, asymptotic computational complexity, computational complexity theory, quadratic assignment problem	31.0	31.0	0.0	0.0	0.25
white certificates	certificate	payment, operating system, artificial intelligence, database transaction, license	73.0	73.0	0.0	0.0	0.125
barrett reduction	elliptic curve cryptography	elliptic curve cryptography, cryptosystem, parallel computing, floating point, s box	1.0	1.0	1.0	1.0	1.0
spectral layout	algorithm	extension topology, embedding, complex network, artificial intelligence, graph drawing	16.0	16.0	0.0	0.0	0.5
server role	server	operating system, cloud computing, server, distributed transaction, group policy	3.0	3.0	0.0	1.0	1.0
group news	theoretical computer science, world wide web	operating system, computer science, artificial intelligence, telecommunications, library science	31.5	31.5	0.0	0.0	0.5833333333333334
certificate management over cms	public key infrastructure, certificate authority, public key certificate	operating system, computer security, computer network, identifier, database	12.333333333333334	12.333333333333334	0.0	0.0	0.6666666666666666
agile usability engineering	software development process	software development process, agile software development, software engineering, software development, usability engineering	1.0	1.0	1.0	1.0	1.0
stm 4	fiber optic splitter, passive optical network	wavelength division multiplexing, multiplexing, passive optical network, telecommunications, transceiver	6.5	6.5	0.0	0.5	1.0
umlsec	software security assurance	security information and event management, software security assurance, software engineering, information security, computer science	2.0	2.0	0.0	1.0	1.0
turnoff point	stellar collision, asymptotic giant branch, giant star, blue straggler, horizontal branch	stellar mass loss, stellar evolution, stars, white dwarf, nucleosynthesis	18.0	18.0	0.0	0.0	0.5166666666666667
pattern search	artificial intelligence	artificial intelligence, machine learning, computer science, algorithm, pattern recognition	1.0	1.0	1.0	1.0	1.0
kermeta	model driven architecture	class diagram, unified modeling language, applications of uml, uml tool, software engineering	54.0	54.0	0.0	0.0	0.16666666666666666
definite description	artificial intelligence	artificial intelligence, semantics, predicate, ontology, negation	1.0	1.0	1.0	1.0	1.0
minimum spanning tree based segmentation	segmentation based object categorization, region growing	artificial intelligence, voxel, segmentation, segmentation based object categorization, skeleton	9.5	9.5	0.0	0.0	0.75
equidistant conic projection	map projection	projection, equirectangular projection, graphical projection, azimuthal equidistant projection, map projection	5.0	5.0	0.0	0.0	1.0
geometric cryptography	computer security	cryptography, computer science, elliptic curve cryptography, computer security, cryptosystem	4.0	4.0	0.0	0.0	1.0
latrodectus hesperus	spider silk	artificial intelligence, ant, spider silk, silk, operating system	3.0	3.0	0.0	1.0	1.0
international symposium on wearable computers	wearable technology	wearable computer, computer science, wearable technology, artificial intelligence, human computer interaction	3.0	3.0	0.0	1.0	1.0
closed class	syntax	programming language, artificial intelligence, semantics, algorithm, computer science	8.0	8.0	0.0	0.0	1.0
frequency frogging	telecommunications	telecommunications, transmitter, broadband, modulation, telephony	1.0	1.0	1.0	1.0	1.0
futex	openzfs, squashfs, epoll, jffs2, procfs	operating system, real time computing, unix architecture, unix, software	730.2	730.2	0.0	0.0	0.018761910017290214
receiver operating characteristic curve explorer and tester	machine learning	shewhart individuals control chart, software, software quality, test suite, data mining	9.0	9.0	0.0	0.0	1.0
sheervideo	operating system	uncompressed video, operating system, computer hardware, smacker video, video capture	2.0	2.0	0.0	1.0	1.0
liquid state machine	spiking neural network	artificial intelligence, artificial neural network, recurrent neural network, deep learning, biological neuron model	34.0	34.0	0.0	0.0	0.25
weak interpretability	programming language	artificial intelligence, fuzzy logic, fuzzy set, computational logic, fuzzy set operations	18.0	18.0	0.0	0.0	0.5
catalytic bead sensor	electro optical sensor	printed circuit board, flip chip, integrated circuit, sensor node, pulsed power	42.0	42.0	0.0	0.0	0.2
continuous embedding	embedding	finite rank operator, banach space, lp space, approximation property, interpolation space	42.0	42.0	0.0	0.0	0.2
memory bound function	programming language, algorithm	algorithm, parallel computing, merge sort, binary heap, double hashing	4.0	4.0	0.5	0.5	1.0
slope one	collaborative filtering	artificial intelligence, computer science, data mining, world wide web, machine learning	10.0	10.0	0.0	0.0	1.0
amateur radio operator	two way communication	telecommunications, operating system, artificial intelligence, computer network, computer science	183.0	183.0	0.0	0.0	0.05263157894736842
bitext word alignment	artificial intelligence, natural language processing, machine learning	artificial intelligence, natural language processing, sentence, machine learning, syntax	1.3333333333333333	1.3333333333333333	0.6666666666666666	1.0	1.0
proofs of convergence of random variables	convergence tests	convergence tests, rate of convergence, normal convergence, time hierarchy theorem, local convergence	1.0	1.0	1.0	1.0	1.0
internet radio device	internet radio	operating system, telecommunications, computer network, the internet, broadcasting	277.0	277.0	0.0	0.0	0.03571428571428571
fast flux	botnet	computer science, operating system, computer security, cloud computing, computer network	9.0	9.0	0.0	0.0	1.0
multichannel code	telecommunications	audio signal flow, audio signal, artificial intelligence, audio signal processing, digital audio	9.0	9.0	0.0	0.0	1.0
schwartz syndrome	retinal detachment	retinal detachment, retinoschisis, x linked retinoschisis, subretinal fluid, congenital nystagmus	1.0	1.0	1.0	1.0	1.0
dirty data	cache	data mining, computer science, database, artificial intelligence, information retrieval	365.0	365.0	0.0	0.0	0.02702702702702703
dbrn	computer vision, telecommunications	artificial intelligence, computer vision, operating system, computer science, telecommunications	3.0	3.0	0.0	0.5	1.0
interconnectivity	artificial intelligence	computer science, artificial intelligence, operating system, computer network, distributed computing	2.0	2.0	0.0	1.0	1.0
native resolution	pixel, liquid crystal display, display device	computer vision, digital imaging, pixel, liquid crystal display, color balance	4.0	4.0	0.0	0.6666666666666666	1.0
e 214	telecommunications	operating system, computer network, port, reservation, telecommunications	5.0	5.0	0.0	0.0	1.0
colour cast	pixel	artificial intelligence, computer vision, color balance, color space, pixel	5.0	5.0	0.0	0.0	1.0
marine vhf radio	telecommunications	telecommunications, operating system, computer network, wireless, artificial intelligence	1.0	1.0	1.0	1.0	1.0
clk3	clk2, clk1	hsl and hsv, gist, gnao1, database search engine, dbm	43.5	43.5	0.0	0.0	0.3214285714285714
yotta	operating system	programming language, operating system, decimal128 floating point format, database, bubble sort	2.0	2.0	0.0	1.0	1.0
burst error correcting code	reed solomon error correction, error floor, concatenated error correction code, hamming code	concatenated error correction code, reed solomon error correction, error floor, sequential decoding, block code	2.25	2.25	0.75	0.75	1.0
algorithmic inference	frequentist inference, bayesian statistics	artificial intelligence, machine learning, computer science, probabilistic logic, algorithm	72.0	72.0	0.0	0.0	0.13392857142857142
ergative verb	ergative case, modal verb, causative	artificial intelligence, verb, syntax, modal verb, grammar	23.666666666666668	23.666666666666668	0.0	0.0	0.5111111111111111
dna computations	dna computing	algorithm, parallel computing, theoretical computer science, computer science, sorting algorithm	656.0	656.0	0.0	0.0	0.015151515151515152
cross compiler	compiler	operating system, software, unix, programming language, unix architecture	26.0	26.0	0.0	0.0	0.3333333333333333
constraint inference	constraint logic programming	hybrid algorithm, artificial intelligence, fuzzy logic, fuzzy number, fuzzy set	8.0	8.0	0.0	0.0	1.0
wheelchair ramp	wheelchair	wheelchair, robot, manual wheelchair, operating system, robotics	1.0	1.0	1.0	1.0	1.0
pattern of life analysis	computer security	artificial intelligence, computer science, operating system, telecommunications, computer security	5.0	5.0	0.0	0.0	1.0
computable isomorphism	computable analysis	recursive set, computable analysis, parity function, time hierarchy theorem, turing degree	2.0	2.0	0.0	1.0	1.0
multimedia studies	the internet	multimedia, world wide web, new media, the internet, operating system	4.0	4.0	0.0	0.0	1.0
double integrator	multi agent system	robust control, sliding mode control, variable structure control, quantitative feedback theory, fuzzy control system	153.0	153.0	0.0	0.0	0.0625
flat	sequence space	seven dimensional space, triangulation, delaunay triangulation, projection, artificial intelligence	42.0	42.0	0.0	0.0	0.2
direct navigation	artificial intelligence, world wide web	artificial intelligence, computer vision, image quality, scanner, operating system	8.0	8.0	0.5	0.5	0.75
blom s scheme	wireless sensor network	cryptography, encryption, key distribution, computer network, public key cryptography	25.0	25.0	0.0	0.0	0.3333333333333333
presolar grains	nucleosynthesis	nucleosynthesis, stellar mass loss, stellar evolution, planetary system, stars	1.0	1.0	1.0	1.0	1.0
furer s algorithm	algorithm	algorithm, computational complexity theory, asymptotic computational complexity, arbitrary precision arithmetic, time hierarchy theorem	1.0	1.0	1.0	1.0	1.0
irish grammar	grammar	verb, modal verb, grammar, syntax, artificial intelligence	3.0	3.0	0.0	1.0	1.0
guess value	machine learning	artificial intelligence, machine learning, fuzzy logic, least squares, algorithm	2.0	2.0	0.0	1.0	1.0
control character	computer hardware, programming language, operating system	operating system, programming language, computer science, artificial intelligence, computer hardware	1.6666666666666667	1.6666666666666667	0.6666666666666666	1.0	1.0
proximity marketing	bluetooth	world wide web, mobile technology, mobile device, the internet, operating system	35.0	35.0	0.0	0.0	0.25
blank expression	facial expression	artificial intelligence, operating system, gesture, speech recognition, computer vision	6.0	6.0	0.0	0.0	1.0
enterprise storage	computer data storage	operating system, computer data storage, cloud computing, computer hardware, standard raid levels	2.0	2.0	0.0	1.0	1.0
order by	database	sargable, database, query by example, relational database, indexed file	2.0	2.0	0.0	1.0	1.0
alloaromadendrene	volatile	volatile, ethyl hexanoate, hexyl acetate, nonanal, germacrene d	1.0	1.0	1.0	1.0	1.0
n connector	coaxial	telecommunications, cable gland, operating system, embedded system, fanout cable	248.0	248.0	0.0	0.0	0.04
copy elision	functional compiler	programming language, operating system, artificial intelligence, computer science, manual memory management	35.0	35.0	0.0	0.0	0.25
bidirectional map	bidirectional associative memory	computer vision, artificial intelligence, pattern recognition, segmentation, feature detection	1565.0	1565.0	0.0	0.0	0.006369426751592357
action selection	artificial intelligence, machine learning	artificial intelligence, machine learning, reinforcement learning, computer science, cybernetics	1.0	1.0	1.0	1.0	1.0
esox reicherti	esox	seasonality, turtle, trait, streams, rank correlation	18.0	18.0	0.0	0.0	0.5
short backfire antenna	antenna efficiency, coaxial antenna, periscope antenna, antenna factor, antenna aperture	antenna, dipole antenna, coaxial antenna, antenna efficiency, radiation pattern	4.8	4.8	0.0	0.4	1.0
shape context	artificial intelligence, computer vision, machine learning	artificial intelligence, computer vision, pattern recognition, segmentation, feature extraction	9.333333333333334	9.333333333333334	0.6666666666666666	0.6666666666666666	0.7777777777777778
top500	supercomputer	supercomputer, parallel computing, computer science, operating system, computer architecture	1.0	1.0	1.0	1.0	1.0
trusted path	authentication	computer security, operating system, authentication, computer science, group policy	3.0	3.0	0.0	1.0	1.0
widget toolkit	user interface, graphical user interface, java	user interface, graphical user interface testing, shell, natural user interface, graphical user interface	8.333333333333334	8.333333333333334	0.3333333333333333	0.3333333333333333	0.8333333333333334
ncos	operating system	artificial intelligence, operating system, computer science, programming language, prosthesis	2.0	2.0	0.0	1.0	1.0
condition precedent	programming language	payment, payment service provider, payment order, credit enhancement, credit card interest	60.0	60.0	0.0	0.0	0.16666666666666666
aspect ratio	aspect ratio	pyramid, computer graphics images, shading, tray, projection	916.0	916.0	0.0	0.0	0.010869565217391304
leyland cypress	arboriculture, arborist	arboriculture, aceraceae, pear, maple, point of delivery	5.0	5.0	0.5	0.5	1.0
inconsistent triad	programming language	artificial intelligence, computer science, operating system, programming language, machine learning	4.0	4.0	0.0	0.0	1.0
contactless smart card	card reader, smart card	operating system, telecommunications, computer hardware, computer security, embedded system	9.0	9.0	0.0	0.0	1.0
leading zero	floating point	programming language, operating system, computer hardware, algorithm, computer science	8.0	8.0	0.0	0.0	1.0
manycore processor	multi core processor, chip	parallel computing, multi core processor, shared memory, supercomputer, interleaved memory	75.5	75.5	0.0	0.5	0.5333333333333333
embedded intelligence	embedded system	artificial intelligence, computer science, operating system, embedded system, computer hardware	4.0	4.0	0.0	0.0	1.0
control flow analysis	programming language theory, programming domain, reactive programming, declarative programming, functional logic programming, procedural programming, second generation programming language	programming language, computer science, operating system, real time computing, theoretical computer science	58.42857142857143	58.42857142857143	0.0	0.0	0.1819160997732426
bar screen	computer hardware	tray, cartridge, operating system, computer hardware, plunger	4.0	4.0	0.0	0.0	1.0
block error rate	telecommunications link	fading, code division multiple access, channel, orthogonal frequency division multiplexing, telecommunications link	5.0	5.0	0.0	0.0	1.0
inverse multiplexing for atm	multiplexing	computer network, operating system, telecommunications, real time computing, ethernet	50.0	50.0	0.0	0.0	0.2
identity control theory	social identity approach	human factors and ergonomics, organizational commitment, social network, moderation, knowledge management	6.0	6.0	0.0	0.0	1.0
side arm	computer hardware	prosthesis, diathermy, human factors and ergonomics, eye injuries, retinal detachment	64.0	64.0	0.0	0.0	0.14285714285714285
absent vestibular function	vestibulo ocular reflex	eye movement, saccadic masking, saccade, vestibulo ocular reflex, vergence	4.0	4.0	0.0	0.0	1.0
ottawa knee rules	decision rule	prosthesis, robotic surgery, item bank, clinical decision support system, documentation	65.0	65.0	0.0	0.0	0.14285714285714285
disparate system	data mining, database	computer science, data mining, geospatial analysis, knowledge management, data warehouse	3.5	3.5	0.0	0.5	1.0
spontaneous otoacoustic emissions	otoacoustic emission	otoacoustic emission, loudness, intelligibility, binaural recording, monaural	1.0	1.0	1.0	1.0	1.0
mbus	real time computing, parallel computing	operating system, parallel computing, computer hardware, real time computing, interleaved memory	2.5	2.5	0.0	1.0	1.0
reem	artificial intelligence	artificial intelligence, operating system, computer science, telecommunications, computer vision	1.0	1.0	1.0	1.0	1.0
via c3	parallel computing, operating system	operating system, embedded system, computer hardware, computer science, parallel computing	2.5	2.5	0.5	0.5	1.0
imagix 4d	software construction, software quality, component based software engineering	software development process, software development, software engineering, unified modeling language, component based software engineering	5.0	5.0	0.0	0.0	1.0
big ball of mud	software	operating system, programming language, computer science, software engineering, artificial intelligence	7.0	7.0	0.0	0.0	1.0
indexed color	color histogram, color depth, high color	computer graphics images, artificial intelligence, operating system, computer hardware, computer vision	8.0	8.0	0.0	0.0	0.8333333333333334
double pulse	pulse	pulse, ultrashort pulse, picosecond, bandwidth limited pulse, femtosecond pulse shaping	1.0	1.0	1.0	1.0	1.0
quadratic bottleneck assignment problem	machine learning	generalized assignment problem, linear programming, integer programming, quadratic assignment problem, simplex algorithm	145.0	145.0	0.0	0.0	0.06666666666666667
1 rule	world wide web	computer science, artificial intelligence, operating system, machine learning, data mining	7.0	7.0	0.0	0.0	1.0
environmental informatics	artificial intelligence	computer science, geospatial analysis, artificial intelligence, data mining, gis and public health	3.0	3.0	0.0	1.0	1.0
double boot	computer hardware, operating system	operating system, file control block, boot sector, computer hardware, unix file types	2.0	2.0	0.5	1.0	1.0
histogram of oriented gradients	support vector machine, feature extraction, histogram	artificial intelligence, computer vision, feature extraction, pattern recognition, facial recognition system	34.333333333333336	34.333333333333336	0.0	0.3333333333333333	0.4861111111111111
pheidole desertorum	ant	artificial intelligence, ant, alarm signal, operating system, human factors and ergonomics	2.0	2.0	0.0	1.0	1.0
spurious correlation	spurious relationship	artificial intelligence, machine learning, linear regression, computer science, regression analysis	44.0	44.0	0.0	0.0	0.2
cognitive models of information retrieval	human computer information retrieval	artificial intelligence, machine learning, knowledge management, data mining, ontology	53.0	53.0	0.0	0.0	0.16666666666666666
mailing list	operating system, world wide web	operating system, computer science, world wide web, library science, computer security	1.5	1.5	0.5	1.0	1.0
physically based rendering	rendering	artificial intelligence, rendering, global illumination, computer graphics images, computer vision	2.0	2.0	0.0	1.0	1.0
boyce codd normal form	database normalization	relational model, multivalued dependency, relational calculus, relational database, database	6.0	6.0	0.0	0.0	1.0
inline linking	world wide web	operating system, dynamic web page, static web page, world wide web, web page	4.0	4.0	0.0	0.0	1.0
fcmov	programming language, operating system	operating system, computer hardware, embedded system, interleaved memory, parallel computing	4.0	4.0	0.5	0.5	1.0
interior reconstruction	region of interest, iterative reconstruction	artificial intelligence, iterative reconstruction, computer vision, regularization, reconstruction algorithm	368.0	368.0	0.0	0.5	0.5067567567567568
